
root@Comp3134CS:~# ping 134.131.41.131

PING 134.131.41.131 (134.131.41.131) 56(84) bytes of data.
64 bytes from 134.131.41.131: icmp_seq=1 ttl=64 time=0.044 ms
64 bytes from 134.131.41.131: icmp_seq=2 ttl=64 time=0.085 ms
64 bytes from 134.131.41.131: icmp_seq=3 ttl=64 time=0.089 ms
64 bytes from 134.131.41.131: icmp_seq=4 ttl=64 time=0.073 ms
64 bytes from 134.131.41.131: icmp_seq=5 ttl=64 time=0.079 ms
64 bytes from 134.131.41.131: icmp_seq=6 ttl=64 time=0.072 ms
64 bytes from 134.131.41.131: icmp_seq=7 ttl=64 time=0.080 ms
64 bytes from 134.131.41.131: icmp_seq=8 ttl=64 time=0.095 ms
64 bytes from 134.131.41.131: icmp_seq=9 ttl=64 time=0.104 ms
64 bytes from 134.131.41.131: icmp_seq=10 ttl=64 time=0.102 ms
64 bytes from 134.131.41.131: icmp_seq=11 ttl=64 time=0.064 ms
64 bytes from 134.131.41.131: icmp_seq=12 ttl=64 time=0.082 ms
64 bytes from 134.131.41.131: icmp_seq=13 ttl=64 time=0.087 ms
64 bytes from 134.131.41.131: icmp_seq=14 ttl=64 time=0.079 ms
64 bytes from 134.131.41.131: icmp_seq=15 ttl=64 time=0.205 ms
64 bytes from 134.131.41.131: icmp_seq=16 ttl=64 time=0.065 ms
64 bytes from 134.131.41.131: icmp_seq=17 ttl=64 time=0.084 ms
