root@comp3134winter2024:~# tcpdump -i eth0 port 22
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
22:31:25.063127 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 3493974864:3493974956, ack 3309657429, win 501, options [nop,nop,TS val 3432284524 ecr 244478669], length 92
22:31:25.064400 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 92:200, ack 1, win 501, options [nop,nop,TS val 3432284525 ecr 244478669], length 108
22:31:25.064465 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 200:236, ack 1, win 501, options [nop,nop,TS val 3432284525 ecr 244478669], length 36
22:31:25.064486 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 236:288, ack 1, win 501, options [nop,nop,TS val 3432284526 ecr 244478669], length 52
22:31:25.064523 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 288:356, ack 1, win 501, options [nop,nop,TS val 3432284526 ecr 244478669], length 68
22:31:25.064570 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 356:424, ack 1, win 501, options [nop,nop,TS val 3432284526 ecr 244478669], length 68
22:31:25.064610 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 424:460, ack 1, win 501, options [nop,nop,TS val 3432284526 ecr 244478669], length 36
22:31:25.077212 IP cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099 > comp3134winter2024.ssh: Flags [.], ack 460, win 10298, options [nop,nop,TS val 244478693 ecr 3432284526], length 0
22:31:25.164430 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 460:728, ack 1, win 501, options [nop,nop,TS val 3432284625 ecr 244478693], length 268
22:31:25.164480 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 728:764, ack 1, win 501, options [nop,nop,TS val 3432284625 ecr 244478693], length 36
22:31:25.164554 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 764:1008, ack 1, win 501, options [nop,nop,TS val 3432284626 ecr 244478693], length 244
22:31:25.164590 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 1008:1044, ack 1, win 501, options [nop,nop,TS val 3432284626 ecr 244478693], length 36
22:31:25.164640 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 1044:1288, ack 1, win 501, options [nop,nop,TS val 3432284626 ecr 244478693], length 244
22:31:25.164677 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 1288:1324, ack 1, win 501, options [nop,nop,TS val 3432284626 ecr 244478693], length 36
22:31:25.164721 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 1324:1568, ack 1, win 501, options [nop,nop,TS val 3432284626 ecr 244478693], length 244
22:31:25.164762 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 1568:1604, ack 1, win 501, options [nop,nop,TS val 3432284626 ecr 244478693], length 36
22:31:25.164802 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 1604:1848, ack 1, win 501, options [nop,nop,TS val 3432284626 ecr 244478693], length 244
22:31:25.164839 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 1848:1884, ack 1, win 501, options [nop,nop,TS val 3432284626 ecr 244478693], length 36
22:31:25.164883 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 1884:2128, ack 1, win 501, options [nop,nop,TS val 3432284626 ecr 244478693], length 244
22:31:25.164918 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 2128:2164, ack 1, win 501, options [nop,nop,TS val 3432284626 ecr 244478693], length 36
22:31:25.164963 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 2164:2408, ack 1, win 501, options [nop,nop,TS val 3432284626 ecr 244478693], length 244
22:31:25.165010 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 2408:2444, ack 1, win 501, options [nop,nop,TS val 3432284626 ecr 244478693], length 36
22:31:25.165074 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 2444:2680, ack 1, win 501, options [nop,nop,TS val 3432284626 ecr 244478693], length 236
22:31:25.165115 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 2680:2716, ack 1, win 501, options [nop,nop,TS val 3432284626 ecr 244478693], length 36
22:31:25.185114 IP cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099 > comp3134winter2024.ssh: Flags [.], ack 2716, win 10270, options [nop,nop,TS val 244478795 ecr 3432284626], length 0
22:31:25.265830 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 2716:2960, ack 1, win 501, options [nop,nop,TS val 3432284727 ecr 244478795], length 244
22:31:25.265932 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 2960:2996, ack 1, win 501, options [nop,nop,TS val 3432284727 ecr 244478795], length 36
22:31:25.265973 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 2996:3240, ack 1, win 501, options [nop,nop,TS val 3432284727 ecr 244478795], length 244
22:31:25.266010 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 3240:3276, ack 1, win 501, options [nop,nop,TS val 3432284727 ecr 244478795], length 36
22:31:25.266061 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 3276:3520, ack 1, win 501, options [nop,nop,TS val 3432284727 ecr 244478795], length 244
22:31:25.266100 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 3520:3556, ack 1, win 501, options [nop,nop,TS val 3432284727 ecr 244478795], length 36
22:31:25.266347 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 3556:3800, ack 1, win 501, options [nop,nop,TS val 3432284727 ecr 244478795], length 244
22:31:25.266419 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 3800:3836, ack 1, win 501, options [nop,nop,TS val 3432284727 ecr 244478795], length 36
22:31:25.266443 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 3836:4088, ack 1, win 501, options [nop,nop,TS val 3432284727 ecr 244478795], length 252
22:31:25.266484 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 4088:4124, ack 1, win 501, options [nop,nop,TS val 3432284728 ecr 244478795], length 36
22:31:25.266539 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 4124:4368, ack 1, win 501, options [nop,nop,TS val 3432284728 ecr 244478795], length 244
22:31:25.266579 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 4368:4404, ack 1, win 501, options [nop,nop,TS val 3432284728 ecr 244478795], length 36
