root@comp3134winter2024:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
22:29:39.654905 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 3493910828:3493910912, ack 3309656529, win 501, options [nop,nop,TS val 3432179116 ecr 244373261], length 84
22:29:39.655551 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 84:192, ack 1, win 501, options [nop,nop,TS val 3432179117 ecr 244373261], length 108
22:29:39.655619 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 192:228, ack 1, win 501, options [nop,nop,TS val 3432179117 ecr 244373261], length 36
22:29:39.655662 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 228:280, ack 1, win 501, options [nop,nop,TS val 3432179117 ecr 244373261], length 52
22:29:39.655735 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 280:416, ack 1, win 501, options [nop,nop,TS val 3432179117 ecr 244373261], length 136
22:29:39.655776 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 416:452, ack 1, win 501, options [nop,nop,TS val 3432179117 ecr 244373261], length 36
22:29:39.669118 IP 99.230.43.173.64099 > 165.22.228.255.22: Flags [.], ack 452, win 10299, options [nop,nop,TS val 244373285 ecr 3432179117], length 0
22:29:39.753909 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 452:672, ack 1, win 501, options [nop,nop,TS val 3432179215 ecr 244373285], length 220
22:29:39.754023 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 672:904, ack 1, win 501, options [nop,nop,TS val 3432179215 ecr 244373285], length 232
22:29:39.754072 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 904:940, ack 1, win 501, options [nop,nop,TS val 3432179215 ecr 244373285], length 36
22:29:39.754184 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 940:1136, ack 1, win 501, options [nop,nop,TS val 3432179215 ecr 244373285], length 196
22:29:39.754235 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 1136:1172, ack 1, win 501, options [nop,nop,TS val 3432179215 ecr 244373285], length 36
22:29:39.754302 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 1172:1368, ack 1, win 501, options [nop,nop,TS val 3432179215 ecr 244373285], length 196
22:29:39.754340 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 1368:1404, ack 1, win 501, options [nop,nop,TS val 3432179215 ecr 244373285], length 36
